customerID,tenure,MonthlyCharges,Churn_Probability,Cluster
6341-JVQGF,31,81.15,0.01,3
2232-DMLXU,1,55.2,0.86,0
4811-JBUVU,30,89.9,0.4,3
0945-TSONX,47,85.3,0.02,1
2651-ZCBXV,54,108.0,0.34,1
3316-UWXUY,50,93.5,0.15,1
8937-RDTHP,1,84.6,0.82,3
7083-MIOPC,72,20.25,0.0,2
1984-GPTEH,29,25.15,0.03,0
1251-KRREG,2,54.4,0.77,0
0621-JFHOL,10,29.6,0.07,0
9903-LYSAB,18,73.15,0.1,3
0094-OIFMO,11,95.0,0.89,3
9227-UAQFT,16,19.75,0.0,0
7301-ABVAD,72,86.6,0.0,1
6614-FHDBO,72,109.2,0.07,1
7576-ASEJU,41,74.7,0.02,3
9058-HRZSV,65,94.4,0.07,1
4522-AKYLR,13,54.8,0.17,0
0221-WMXNQ,4,75.35,0.26,3
0303-UNCIP,41,65.0,0.03,2
9947-OTFQU,15,74.4,0.81,3
0322-YINQP,1,48.55,0.27,0
0959-WHOKV,42,99.0,0.06,1
4075-JFPGR,51,93.5,0.09,1
4629-NRXKX,2,70.4,0.8,3
9514-JDSKI,1,40.2,0.86,0
3282-ZISZV,32,83.7,0.02,3
3675-YDUPJ,10,19.85,0.14,0
4111-BNXIF,67,59.55,0.02,1
7017-VFHAY,61,115.1,0.01,1
6655-LHBYW,50,114.35,0.04,1
4959-JOSRX,2,44.6,0.8,0
5046-NUHWD,29,45.0,0.49,0
7273-TEFQD,3,41.15,0.97,0
3606-TWKGI,13,106.9,0.96,3
7529-ZDFXI,57,89.85,0.17,1
7605-BDWDC,31,49.85,0.01,2
1950-KSVVJ,45,113.3,0.05,1
0123-CRBRT,61,88.1,0.0,1
6292-TOSSS,50,24.9,0.0,2
3197-ARFOY,19,105.0,0.12,3
6323-AYBRX,59,19.35,0.64,2
7014-ZZXAW,71,24.25,0.0,2
4385-GZQXV,16,94.45,0.86,3
7633-MVPUY,57,59.75,0.0,2
6366-ZGQGL,1,24.8,0.81,0
4716-HHKQH,20,107.05,0.18,3
5940-AHUHD,1,70.6,0.88,3
6432-TWQLB,5,85.4,0.89,3
4484-GLZOU,52,105.05,0.79,1
3179-GBRWV,21,64.95,0.04,3
8645-KWHJO,14,55.0,0.13,0
4130-MZLCC,5,50.55,0.55,0
0314-TKOSI,6,55.15,0.09,0
8229-MYEJZ,10,51.2,0.01,0
2080-SRCDE,1,25.4,0.021714285714285714,0
9577-WJVCQ,68,54.45,0.05,2
9512-UIBFX,18,95.15,0.8,3
6202-DYYFX,22,76.0,0.04,3
3808-HFKDE,20,44.35,0.28,0
5583-SXDAG,1,70.0,0.9,3
3488-PGMQJ,8,74.5,0.91,3
3580-REOAC,10,44.85,0.67,0
7534-BFESC,24,76.1,0.69,3
3727-OWVYD,35,61.2,0.11,3
2294-SALNE,23,86.8,0.07,3
4847-TAJYI,6,89.35,0.23,3
1563-IWQEX,12,19.7,0.02,0
8203-XJZRC,1,20.25,0.5752142857142857,0
6556-DBKZF,71,76.05,0.27,1
6851-WEFYX,35,100.8,0.35,1
2985-JUUBZ,40,74.55,0.17,3
6390-DSAZX,1,73.6,0.85,3
0895-LMRSF,23,64.9,0.05,3
8098-LLAZX,4,95.45,0.99,3
8266-VBFQL,4,90.4,0.21,3
8181-YHCMF,68,60.3,0.0,1
2240-HSJQD,38,81.85,0.12,3
1248-DYXUB,52,24.8,0.0,2
0265-EDXBD,32,74.9,0.82,3
4115-BNPJY,29,75.55,0.03,3
3167-SNQPL,38,101.15,0.53,1
4091-TVOCN,48,78.75,0.01,1
1098-TDVUQ,1,19.25,0.24,0
7277-OZCGZ,22,89.05,0.1,3
1557-EMYVT,43,115.05,0.03,1
2799-ARNLO,5,69.35,0.22,3
7563-BIUPC,5,80.6,0.84,3
5027-YOCXN,51,110.05,0.31,1
3973-SKMLN,71,19.9,0.0,2
2321-OMBXY,38,80.3,0.65,3
2840-XANRC,24,93.15,0.36,3
6745-JEFZB,35,91.5,0.4,3
5020-ZSTTY,54,82.45,0.69,1
9880-TDQAC,72,60.0,0.08,1
8705-WZCYL,1,44.8,0.28,0
7102-JJVTX,9,48.6,0.1,0
8626-PTQGE,69,60.05,0.0,1
4983-CLMLV,52,102.7,0.26,1
5701-YVSVF,11,82.9,0.27,3
5804-LEPIM,2,70.35,0.92,3
5697-GOMBF,28,35.9,0.12,0
2739-CACDQ,17,82.65,0.13,3
9385-EHGDO,35,19.85,0.0,2
9498-FIMXL,8,19.2,0.04,0
2379-GYFLQ,46,94.9,0.21,1
0122-OAHPZ,7,73.85,0.46,3
2868-SNELZ,2,80.6,0.77,3
4322-RCYMT,68,75.8,0.6,1
6680-NENYN,43,104.6,0.76,1
2088-IEBAU,68,88.15,0.01,1
7982-VCELR,36,94.8,0.1,1
1343-EHPYB,63,103.4,0.39,1
6035-BXTTY,32,54.65,0.03,2
6885-PKOAM,71,85.75,0.0,1
7520-HQWJU,66,67.45,0.01,1
9639-BUJXT,63,20.5,0.01,2
5924-SNGKP,41,20.25,0.0,2
0021-IKXGC,1,72.1,0.31,3
2034-GDRCN,2,90.4,0.93,3
8966-SNIZF,70,19.45,0.0,2
6243-OZGFH,23,44.95,0.07,0
4654-DLAMQ,64,97.0,0.05,1
0513-RBGPE,37,62.8,0.0,3
5160-UXJED,17,44.6,0.15,0
4115-NZRKS,7,89.15,0.19,3
0219-YTZUE,4,84.8,0.87,3
0623-IIHUG,21,41.9,0.69,0
4572-DVCGN,10,80.25,0.81,3
3351-NGXYI,16,54.1,0.07,0
8984-EYLLL,64,105.25,0.05,1
9057-MSWCO,27,30.75,0.75,0
9833-TGFHX,42,97.1,0.08,1
9294-TDIPC,5,20.2,0.0,0
5229-DTFYB,41,98.8,0.02,1
0104-PPXDV,58,50.3,0.02,2
5176-LMJXE,47,20.55,0.0,2
3583-KRKMD,18,75.9,0.09,3
1010-DIAUQ,5,96.5,0.92,3
9069-LGEUL,23,59.95,0.02,3
7302-ZHMHP,1,19.15,0.2,0
9571-EDEBV,71,98.65,0.13,1
3520-FJGCV,72,112.6,0.01,1
6563-VRERX,33,20.6,0.0,0
0259-GBZSH,2,85.65,0.81,3
6122-EFVKN,24,35.75,0.0,0
2805-EDJPQ,56,99.75,0.11,1
6862-CQUMB,37,96.1,0.13,1
7156-MXBJE,43,85.1,0.04,1
6158-HDPXZ,1,25.35,0.43,0
9601-BRXPO,25,104.95,0.87,3
2863-IMQDR,61,89.65,0.01,1
5686-CMAWK,17,86.75,0.09,3
5651-CRHKQ,41,86.2,0.06,1
6905-NIQIN,1,50.65,0.47,0
8204-YJCLA,72,64.8,0.0,1
5167-ZFFMM,1,90.85,0.92,3
6583-SZVGP,48,108.1,0.11,1
4895-TMWIR,11,19.95,0.67,0
0533-BNWKF,55,85.45,0.83,1
1708-PBBOA,42,54.75,0.04,2
8782-LKFPK,44,90.4,0.2,1
5522-JBWMO,1,44.0,0.17,0
3597-MVHJT,27,95.6,0.27,3
9774-NRNAU,27,84.8,0.07,3
0224-RLWWD,2,44.3,0.15,0
9967-ATRFS,19,19.9,0.0,0
3951-NJCVI,42,95.05,0.28,1
2977-CEBSX,66,90.05,0.0,1
0177-PXBAT,33,109.9,0.19,1
6599-CEBNN,34,73.95,0.91,3
2519-ERQOJ,33,54.6,0.07,2
5876-QMYLD,23,20.05,0.0,0
2277-AXSDC,32,19.75,0.0,0
9442-JTWDL,11,20.05,0.03,0
0979-PHULV,69,99.45,0.8,1
3067-SVMTC,68,55.9,0.0,2
5495-GPSRW,20,19.7,0.0,0
7606-BPHHN,72,19.8,0.0,2
4742-DRORA,60,95.4,0.04,1
0111-KLBQG,32,93.95,0.15,3
4800-VHZKI,1,19.9,0.812,0
7989-CHGTL,1,19.6,0.82,0
0334-GDDSO,3,81.35,0.87,3
4163-NCJAK,46,24.45,0.0,2
5233-AOZUF,29,74.95,0.23,3
5973-EJGDP,51,87.35,0.21,1
1996-DBMUS,48,70.65,0.18,1
7916-VCCPB,16,73.25,0.12,3
4686-GEFRM,70,98.7,0.08,1
5249-QYHEX,40,24.8,0.0,2
0578-SKVMF,22,83.3,0.7,3
5564-NEMQO,1,75.3,0.96,3
2233-FAGXV,5,24.3,0.27,0
5605-IYGFG,7,69.85,0.45,3
7663-ZTEGJ,29,100.55,0.08,3
3935-TBRZZ,44,25.7,0.01,2
8111-BKVDS,10,40.7,0.06,0
2055-SIFSS,55,51.65,0.16,2
2806-MLNTI,52,105.1,0.25,1
8734-DKSTZ,10,85.95,0.32,3
4360-PNRQB,18,75.6,0.17,3
6152-ONASV,68,58.25,0.0,2
9063-ZGTUY,61,19.4,0.7,2
7781-HVGMK,72,65.2,0.0,1
2181-UAESM,2,53.45,0.29,0
2957-LOLHO,12,45.4,0.63,0
6048-NJXHX,41,19.75,0.02,2
2320-SLKMB,26,44.45,0.25,0
4980-URKXC,36,20.85,0.0,2
4376-KFVRS,72,114.05,0.01,1
5886-VLQVU,35,89.85,0.31,3
3577-AMVUX,1,55.05,0.45,0
0771-WLCLA,16,112.95,0.19,3
5628-RKIFK,49,101.55,0.15,1
0206-TBWLC,54,114.65,0.06,1
2937-FTHUR,18,64.8,0.28,3
1910-FMXJM,36,80.4,0.25,3
7752-XUSCI,60,105.9,0.76,1
4110-PFEUZ,1,69.55,0.98,3
0732-OCQOC,52,25.05,0.0,2
5168-MSWXT,8,94.75,0.34,3
1090-ESELR,72,105.5,0.03,1
8592-PLTMQ,64,24.7,0.01,2
5760-WRAHC,22,69.75,0.1,3
8847-GEOOQ,60,60.2,0.15,2
0256-LTHVJ,28,81.05,0.76,3
4785-FCIFB,61,24.4,0.0,2
8313-NDOIA,24,104.15,0.23,3
5149-CUZUJ,28,92.9,0.06,3
0942-KOWSM,30,80.8,0.05,3
4237-CLSMM,2,20.0,0.09,0
1452-VOQCH,1,75.1,0.38,3
4719-UMSIY,6,19.65,0.0,0
6614-VBEGU,24,69.45,0.09,3
0880-TKATG,4,101.15,0.83,3
3811-VBYBZ,7,99.8,0.94,3
1480-BKXGA,72,116.05,0.0,1
2996-XAUVF,70,40.05,0.09,2
9076-AXYIK,64,102.1,0.01,1
5968-XQIVE,72,89.7,0.07,1
8896-RAZCR,44,19.9,0.0,2
4640-UHDOS,13,55.95,0.27,0
4933-IKULF,17,20.65,0.02,0
3583-EKAPL,1,55.0,0.88,0
1304-BCCFO,9,70.05,0.3,3
4104-PVRPS,24,53.6,0.1,3
9399-APLBT,1,74.7,0.97,3
2359-KMGLI,24,80.25,0.78,3
3780-DDGSE,35,76.05,0.08,3
4431-EDMIQ,7,75.7,0.12,3
0306-JAELE,5,96.1,0.86,3
6227-HWPWX,15,69.0,0.32,3
0486-LGCCH,11,19.65,0.0,0
0447-BEMNG,48,45.3,0.65,2
4612-SSVHJ,20,81.45,0.1,3
5168-MQQCA,72,108.5,0.1,1
5949-XIKAE,8,83.55,0.79,3
7971-HLVXI,72,84.5,0.05,1
9094-AZPHK,15,100.15,0.82,3
3649-JPUGY,72,88.6,0.01,1
8372-JUXUI,1,74.35,0.93,3
3552-CTCYF,63,104.8,0.09,1
6778-YSNIH,2,59.0,0.19,0
0388-EOPEX,2,74.4,0.48,3
5756-OZRIO,61,64.05,0.05,1
6579-JPICP,1,20.4,0.0,0
8205-OTCHB,22,43.75,0.68,0
4134-BSXLX,28,60.9,0.0,3
0505-SPOOW,70,19.8,0.0,2
6235-VDHOM,5,28.45,0.78,0
7783-YKGDV,12,99.7,0.85,3
4374-YMUSQ,34,116.25,0.06,1
4513-CXYIX,71,80.7,0.04,1
3957-HHLMR,70,65.2,0.16,1
7803-XOCCZ,52,84.05,0.02,1
5736-YEJAX,69,79.45,0.04,1
5609-CEBID,20,94.1,0.9,3
8981-FJGLA,11,78.0,0.16,3
7218-HKQFK,2,94.2,0.57,3
4636-QRJKY,6,80.5,0.87,3
1135-LMECX,1,19.85,0.11466666666666667,0
4332-MUOEZ,20,94.3,0.08,3
8535-SFUTN,61,106.45,0.12,1
5956-VKDTT,5,74.35,0.62,3
8677-HDZEE,56,105.45,0.13,1
2475-MROZF,30,95.0,0.07,3
9412-GHEEC,40,104.8,0.75,1
3482-ABPKK,28,54.3,0.0,3
6705-LXORM,5,70.05,0.2,3
0257-ZESQC,27,75.2,0.73,3
7531-GQHME,12,20.05,0.03,0
5174-ITUMV,67,105.4,0.06,1
4109-CYRBD,29,51.6,0.15,3
0913-XWSCN,55,85.5,0.16,1
6825-UYPFK,23,75.6,0.82,3
8397-MVTAZ,34,100.05,0.8,3
0750-EBAIU,52,91.25,0.03,1
8606-CIQUL,72,115.75,0.0,1
3571-DPYUH,58,94.7,0.03,1
7601-GNDYK,35,19.6,0.0,2
0356-OBMAC,56,99.9,0.07,1
8067-NIOYM,24,21.1,0.0,0
1403-GYAFU,70,20.05,0.0,2
4234-XTNEA,2,79.95,0.23,3
1297-VQDRP,68,107.15,0.05,1
9282-IZGQK,1,85.0,0.98,3
5348-CAGXB,12,89.55,0.63,3
0621-HJWXJ,63,81.55,0.29,1
5844-QVTAT,33,58.45,0.0,3
8905-IAZPF,69,95.65,0.06,1
5394-MEITZ,60,80.6,0.01,1
6859-QNXIQ,72,113.1,0.03,1
2782-LFZVW,11,58.95,0.08,3
2866-IKBTM,1,19.55,0.1,0
1342-JPNKI,10,86.05,0.88,3
2817-NTQDO,13,45.55,0.23,0
7129-AZJDE,34,78.95,0.23,3
6986-IJDHX,39,86.3,0.68,3
2560-PPCHE,65,105.05,0.1,1
4676-MQUEA,50,101.9,0.13,1
8138-EALND,15,19.75,0.02,0
3580-HYCSP,72,110.3,0.02,1
1352-HNSAW,72,115.6,0.01,1
2075-PUEPR,55,19.35,0.01,2
1982-FEBTD,23,25.6,0.0,0
5301-GAUUY,32,80.35,0.39,3
5791-KAJFD,56,68.75,0.04,1
2654-VBVPB,1,19.9,0.05783333333333334,0
1154-HYWWO,38,70.6,0.02,3
2501-XWWTZ,11,70.2,0.07,3
3716-UVSPD,1,49.3,0.41,0
6815-ABQFQ,56,107.25,0.09,1
7343-EOBEU,3,23.6,0.07,0
3701-SFMUH,7,69.7,0.1,3
6103-LIANB,59,99.5,0.05,1
7319-VENRZ,7,64.3,0.04,3
5846-NEQVZ,71,70.85,0.0,1
6967-QIQRV,15,101.9,0.42,3
5781-RFZRP,71,73.5,0.01,1
0939-YAPAF,35,100.25,0.67,1
0308-IVGOK,11,40.4,0.06,0
7293-LSCDV,60,19.25,0.0,2
7025-WCBNE,47,59.6,0.02,2
5756-JYOJT,11,64.9,0.05,3
4710-FDUIZ,56,100.3,0.7,1
6030-REHUX,28,110.85,0.19,3
9548-LIGTA,61,81.05,0.01,1
5150-LJNSR,31,98.05,0.05,3
8270-RKSAP,9,70.5,0.32,3
6522-YRBXD,35,94.55,0.38,3
2640-LYMOV,2,19.65,0.1,0
1218-VKFPE,12,19.0,0.71,0
3627-FHKBK,1,75.3,0.82,3
2865-TCHJW,4,89.2,0.95,3
1423-BMPBQ,1,19.0,0.34,0
2393-DIVAI,3,20.0,0.1,0
5192-EBGOV,1,85.7,0.85,3
4568-KNYWR,52,63.25,0.06,2
8752-IMQOS,5,20.1,0.04,0
0742-LAFQK,72,99.15,0.01,1
0795-LAFGP,71,90.4,0.0,1
0619-OLYUR,72,111.9,0.03,1
5512-IDZEI,46,24.9,0.04,2
0459-SPZHJ,63,83.5,0.0,1
0215-BQKGS,30,84.3,0.23,3
9244-ZVAPM,1,45.6,0.26,0
0719-SYFRB,12,61.65,0.76,3
8208-EUMTE,16,54.85,0.02,0
5172-MIGPM,4,65.55,0.1,3
1710-RCXUS,51,90.35,0.08,1
0374-FIUCA,65,20.4,0.01,2
5839-SUYVZ,16,74.55,0.25,3
5173-ZXXXL,2,19.95,0.07,0
1096-ADRUX,66,74.25,0.05,1
2001-MCUUW,46,108.65,0.04,1
2731-GJRDG,32,109.55,0.09,1
4723-BEGSG,72,86.65,0.0,1
6516-NKQBO,38,81.0,0.0,3
8672-OAUPW,51,47.85,0.0,2
8207-DMRVL,72,114.55,0.0,1
3419-SNJJD,65,105.25,0.7,1
6543-CPZMK,9,29.95,0.74,0
4765-OXPPD,9,65.0,0.67,3
2804-ETQDK,66,20.55,0.0,2
6689-VRRTK,44,109.8,0.18,1
7138-GIRSH,50,69.5,0.0,1
9396-ZSFLL,15,48.85,0.05,0
6464-KEXXH,8,25.25,0.1,0
7134-MJPDY,66,102.85,0.08,1
5240-CAOYT,57,87.55,0.05,1
4059-IIEBK,7,78.55,0.3,3
4881-JVQOD,10,34.55,0.13,0
0516-UXRMT,62,92.05,0.06,1
4851-BQDNX,40,85.05,0.16,1
5148-HKFIR,20,19.7,0.0,0
1009-IRMNA,7,20.0,0.75,0
3003-CMDUU,25,95.15,0.12,3
5016-IBERQ,23,84.25,0.43,3
6797-UCJHZ,66,104.6,0.29,1
2469-DTSGX,72,111.65,0.03,1
4554-YGZIH,49,90.05,0.71,1
5099-BAILX,43,110.75,0.68,1
9931-KGHOA,46,55.0,0.05,2
1775-KWJKQ,72,89.85,0.0,1
7665-VIGUD,10,20.35,0.01,0
9411-TPQQV,40,54.55,0.03,2
7207-RMRDB,65,105.5,0.7,1
7954-MLBUN,31,99.45,0.03,3
2077-DDHJK,68,70.9,0.05,1
4913-EHYUI,56,104.55,0.68,1
0195-IESCP,10,85.25,0.96,3
9574-BOSMD,68,25.4,0.0,2
4580-TMHJU,43,56.15,0.21,2
0970-ETWGE,1,89.55,0.97,3
4908-XAXAY,49,89.85,0.13,1
8404-VLQFB,15,25.25,0.06,0
1626-ERCMM,20,94.55,0.81,3
0887-HJGAR,1,45.7,0.88,0
2391-IPLOP,50,69.65,0.03,1
5644-PDMZC,2,89.5,0.91,3
3509-GWQGF,24,70.0,0.07,3
9576-ANLXO,3,69.55,0.92,3
2024-BASKD,1,74.6,0.88,3
5845-BZZIB,35,20.1,0.0,2
1140-UKVZG,17,24.8,0.07,0
4160-AMJTL,8,19.65,0.7,0
5183-SNMJQ,10,95.1,0.22,3
8100-PNJMH,68,88.85,0.0,1
7838-LAZFO,45,78.8,0.02,1
4464-JCOLN,2,19.85,0.55,0
2085-JVGAD,37,20.35,0.04,2
5650-VDUDS,4,24.25,0.82,0
